NT	OT
1Co 10:13	Jer 29:11
1Co 10:26	Psa 24:1
1Co 10:31	Pro 3:6
1Co 10:7	Exo 32:6
1Co 13:4	Pro 10:12
1Co 14:21	Isa 28:11,12
1Co 15:25	Psa 110:1
1Co 15:27	Psa 8:6
1Co 15:32	Isa 22:13
1Co 15:33	Pro 13:20
1Co 15:45	Gen 2:7
1Co 15:54	Isa 25:8
1Co 15:55	Hos 13:14
1Co 15:55	Psa 23:4
1Co 15:58	2Ch 15:7
1Co 15:58	Psa 112:6
1Co 15:58	Psa 51:10
1Co 15:58	Psa 55:22
1Co 16:13	1Ch 28:10
1Co 16:13	2Sa 10:12
1Co 16:13	Isa 35:4
1Co 16:13	Jos 1:6
1Co 16:13	Jos 1:9
1Co 16:13	Psa 27:14
1Co 1:10	Psa 133:1
1Co 1:19	Isa 29:14
1Co 1:27	Jer 9:23
1Co 1:31	Jer 9:24
1Co 2:4	Zec 4:6
1Co 2:7	Jer 33:3
1Co 2:9	Isa 64:4
1Co 2:9	Isa 65:17
1Co 2:9	Psa 31:19
1Co 3:16	Eze 36:27
1Co 3:18	Pro 3:5
1Co 3:19	Job 5:13
1Co 3:20	Psa 94:11
1Co 3:5	Ecc 11:6
1Co 3:7	Psa 127:1
1Co 3:9	Psa 127:1
1Co 5:13	Deu 17:7
1Co 8:1	Pro 3:5
1Co 8:3	Exo 33:17
1Co 8:3	Jer 1:5
1Co 8:3	Nah 1:7
1Co 8:6	Gen 1:1
1Co 9:9	Deu 25:4
1Jo 1:1	Gen 1:1
1Jo 1:8	Pro 28:13
1Jo 1:9	Jer 33:8
1Jo 1:9	Pro 28:13
1Jo 1:9	Psa 32:5
1Jo 1:9	Psa 51:2
1Jo 2:20	Isa 30:21
1Jo 2:27	Isa 30:21
1Jo 3:1	Psa 31:19
1Jo 3:8	Gen 3:15
1Jo 4:15	Isa 45:17
1Jo 4:15	Psa 91:1
1Jo 5:11	Isa 45:17
1Jo 5:14	Isa 65:24
1Jo 5:14	Jer 29:12
1Jo 5:14	Jer 33:3
1Jo 5:14	Psa 34:17
1Jo 5:14	Psa 37:4
1Jo 5:20	Isa 9:6
1Jo 5:3	Deu 6:5
1Pe 1:16	Lev 11:44
1Pe 1:16	Lev 19:2
1Pe 1:16	Lev 20:7
1Pe 1:22	Psa 51:10
1Pe 1:24	Isa 40:6
1Pe 1:24,25	Isa 40:6
1Pe 1:25	Isa 40:8
1Pe 1:4	Psa 31:19
1Pe 1:6	Zec 13:9
1Pe 1:7	Psa 139:23
1Pe 1:8	Psa 37:4
1Pe 2:2	Psa 34:8
1Pe 2:22	Isa 53:9
1Pe 2:23	Pro 20:22
1Pe 2:24	Isa 53:4
1Pe 2:24	Isa 53:4,5
1Pe 2:24	Isa 53:5
1Pe 2:25	Eze 34:6
1Pe 2:25	Isa 53:6
1Pe 2:25	Psa 23:1
1Pe 2:4	Psa 118:22
1Pe 2:6	Isa 28:16
1Pe 2:6	Isa 45:17
1Pe 2:7	Psa 118:22,23
1Pe 2:9	Deu 14:2
1Pe 2:9	Deu 26:18
1Pe 2:9	Deu 7:6
1Pe 2:9	Exo 19:5
1Pe 2:9	Hos 2:23
1Pe 2:9	Isa 61:6
1Pe 3:10	Psa 34:12
1Pe 3:10,11,12	Psa 34:12-16
1Pe 3:11	Psa 34:14
1Pe 3:12	2Ch 16:9
1Pe 3:12	Ezr 8:22
1Pe 3:12	Psa 34:15
1Pe 3:18	Isa 53:5
1Pe 3:4	1Sa 16:7
1Pe 3:4	Pro 31:30
1Pe 3:7	Gen 2:23
1Pe 3:8	Mic 6:8
1Pe 3:8	Psa 133:1
1Pe 3:9	Pro 20:22
1Pe 4:12	Isa 43:2
1Pe 4:12	Psa 34:19
1Pe 4:18	Pro 11:31
1Pe 4:19	Pro 20:22
1Pe 4:8	Pro 10:12
1Pe 4:8	Pro 17:9
1Pe 5:10	Psa 138:7
1Pe 5:4	Psa 23:1
1Pe 5:5	Mic 6:8
1Pe 5:5	Pro 29:23
1Pe 5:5	Pro 3:34
1Pe 5:6	Pro 29:23
1Pe 5:7	1Sa 1:10
1Pe 5:7	1Sa 30:6
1Pe 5:7	Pro 16:3
1Pe 5:7	Psa 142:4
1Pe 5:7	Psa 27:13
1Pe 5:7	Psa 34:15
1Pe 5:7	Psa 37:5
1Pe 5:7	Psa 55:22
1Pe 5:7	Psa 56:3
1Pe 5:8	Job 2:2
1Th 1:10	Isa 40:31
1Th 5:15	Pro 20:22
1Th 5:18	Job 1:21
1Th 5:18	Psa 34:1
1Th 5:23	Num 6:24
1Th 5:24	Psa 138:8
1Ti 2:4	Eze 18:32
1Ti 5:18	Deu 25:4
2Co 10:17	Jer 9:24
2Co 10:4	1Sa 17:45
2Co 10:4	Jer 1:10
2Co 10:4	Zec 4:6
2Co 10:5	Isa 55:7
2Co 10:5	Jer 4:14
2Co 11:3	Gen 3:1
2Co 12:9	Isa 40:29
2Co 12:9	Isa 40:31
2Co 12:9	Isa 41:10
