NT	OT
1Cor.1.10	Ps.133.1
1Cor.1.19	Isa.29.14
1Cor.1.27	Jer.9.23
1Cor.10.13	Jer.29.11
1Cor.10.26	Ps.24.1
1Cor.10.31	Prov.3.6
1Cor.13.4	Prov.10.12
1Cor.15.25	Ps.110.1
1Cor.15.33	Prov.13.20
1Cor.15.55	Ps.23.4
1Cor.15.58	2Chr.15.7
1Cor.15.58	Ps.112.6
1Cor.15.58	Ps.51.10
1Cor.15.58	Ps.55.22
1Cor.16.13	1Chr.28.10
1Cor.16.13	2Sam.10.12
1Cor.16.13	Isa.35.4
1Cor.16.13	Josh.1.6
1Cor.16.13	Josh.1.9
1Cor.16.13	Ps.27.14
1Cor.2.4	Zech.4.6
1Cor.2.7	Jer.33.3
1Cor.2.9	Isa.64.4
1Cor.2.9	Isa.65.17
1Cor.2.9	Ps.31.19
1Cor.3.16	Ezek.36.27
1Cor.3.18	Prov.3.5
1Cor.3.19	Job.5.13
1Cor.3.5	Eccl.11.6
1Cor.3.7	Ps.127.1
1Cor.3.9	Ps.127.1
1Cor.8.1	Prov.3.5
1Cor.8.3	Exod.33.17
1Cor.8.3	Jer.1.5
1Cor.8.3	Nah.1.7
1Cor.8.6	Gen.1.1
1John.1.1	Gen.1.1
1John.1.8	Prov.28.13
1John.1.9	Jer.33.8
1John.1.9	Prov.28.13
1John.1.9	Ps.32.5
1John.1.9	Ps.51.2
1John.2.20	Isa.30.21
1John.2.27	Isa.30.21
1John.3.1	Ps.31.19
1John.3.8	Gen.3.15
1John.4.15	Isa.45.17
1John.4.15	Ps.91.1
1John.5.11	Isa.45.17
1John.5.14	Isa.65.24
1John.5.14	Jer.29.12
1John.5.14	Jer.33.3
1John.5.14	Ps.34.17
1John.5.14	Ps.37.4
1John.5.20	Isa.9.6
1John.5.3	Deut.6.5
1Pet.1.16	Lev.11.44
1Pet.1.16	Lev.19.2
1Pet.1.16	Lev.20.7
1Pet.1.22	Ps.51.10
1Pet.1.24	Isa.40.6
1Pet.1.25	Isa.40.8
1Pet.1.4	Ps.31.19
1Pet.1.6	Zech.13.9
1Pet.1.7	Ps.139.23
1Pet.1.8	Ps.37.4
1Pet.2.2	Ps.34.8
